country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,fuel1,fuel2,fuel3,fuel4,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
USA,United States of America,Simplot Leasing Don Plant,USA0050274,15.9,42.9084,-112.5294,Cogeneration,,,,1986.0,Simplot Leasing Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,65.048,0.0
USA,United States of America,Simplot Phosphates,USA0054472,11.5,41.5417,-109.1328,Gas,Other,,,1986.0,Simplot Phosphates LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,71.11264,5.473847065407026
USA,United States of America,Sinclair Dam,USA0000722,45.0,33.1403,-83.2028,Hydro,,,,1953.0,Georgia Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,86.885,125.45505589604488
USA,United States of America,Sinclair Oil Refinery,USA0054374,6.700000000000001,41.7795,-107.1097,Oil,Gas,,,1986.194029850746,Sinclair Oil Corp,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,12.47151,1.1479310457426481
USA,United States of America,Sioux,USA0002107,1099.4,38.9155,-90.2902,Coal,Oil,,,1967.4999999999998,Union Electric Co - (MO),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,4549.154967,5758.3729868862065
USA,United States of America,Siphon Drop Power Plant,USA0057364,4.4,32.7792,-114.6344,Hydro,,,,1987.4999999999998,Yuma County Water User's Association,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,17.242,12.266716576502168
USA,United States of America,Siphon Power Project,USA0050980,5.4,44.0330,-121.3297,Hydro,,,,1989.0,Central Oregon Irrigation Dist,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,21.526,15.054606707525387
USA,United States of America,Sissonville Hydro,USA0010220,3.0,44.6856,-75.0029,Hydro,,,,1990.0,Boralex Hydro Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,11.278,8.36367039306966
USA,United States of America,Site 980 65,USA0050322,2.1,37.0568,-119.8997,Hydro,,,,1985.0,Madera-Chowchilla Power Auth,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,3.8280000000000003,5.854569275148761
USA,United States of America,Sithe Independence Station,USA0054547,1086.1,43.4950,-76.4511,Gas,,,,1994.0,Sithe/Independence LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,4748.2519,4469.533371863269
USA,United States of America,Sixth Street Gas Turbine,USA0006356,24.0,42.7926,-86.1036,Oil,,,,1974.0,City of Holland,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,-0.133,4.111991805645306
USA,United States of America,Skagway,USA0000066,4.4,59.4545,-135.3131,Oil,Hydro,,,1989.6136363636365,Alaska Power and Telephone Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,2.781,0.7538651643683061
USA,United States of America,Skelton,USA0001505,16.8,43.5708,-70.5583,Hydro,,,,1948.0,Brookfield White Pine Hydro LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,92.901,46.83655420119009
USA,United States of America,Skidmore College,USA0060425,2.0,43.0937,-73.8113,Solar,,,,2014.0,WGL Energy Systems  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,2.7760000000000002,2.304444647385686
USA,United States of America,Skillman,USA0059057,2.7,40.5744,-74.6481,Solar,,,,2011.0000000000002,Janssen Pharmaceutical Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,2.95119,3.1110002739706766
USA,United States of America,Skookumchuck,USA0007259,1.0,46.7844,-122.7197,Hydro,,,,1990.0,TransAlta Centralia Gen LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,4.4510000000000005,2.7878901310232194
USA,United States of America,Sky Global Power One,USA0059938,51.0,29.5503,-96.5378,Gas,,,,2016.0,Sky Global Power One Pledgor  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,33.717,209.87588800757456
USA,United States of America,Sky River LLC,USA0050536,76.9,35.2608,-118.2469,Wind,,,,1991.0000000000002,Sky River LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,136.626,173.39665451121104
USA,United States of America,Sky Volt,USA0058460,1.6,41.2900,-94.4881,Wind,,,,2012.0,Sky Volt  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,6.352,3.607732733653285
USA,United States of America,Skylark,USA0060248,4.0,40.5779,-104.8948,Solar,,,,2016.0,SR Clinch,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,9.096,4.608889294771372
USA,United States of America,Skyline Gas Recovery,USA0056528,6.4,32.5397,-96.6653,Waste,,,,2007.0,WM Renewable Energy LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,47.661,7.992691619809827
USA,United States of America,Slate Creek,USA0050961,4.2,40.9769,-122.4563,Hydro,,,,1990.0,Slate Creek Hydro Assoc LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,10.643,11.709138550297522
USA,United States of America,Slate Creek Wind Project LLC,USA0059837,150.0,37.1146,-97.2376,Wind,,,,2016.0,EDF Renewable Asset Holdings  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,2016,,,,626.713,338.22494377999544
